	Train Loss: 0.003 | Train Acc: 100.00%
	 Val. Loss: 6.313 |  Val. Acc: 22.22%
Epoch: 06 | Epoch Time: 0m 1s
	Train Loss: 0.003 | Train Acc: 100.00%
	 Val. Loss: 6.338 |  Val. Acc: 22.22%
Epoch: 07 | Epoch Time: 0m 1s
	Train Loss: 0.003 | Train Acc: 100.00%
	 Val. Loss: 6.364 |  Val. Acc: 22.22%
Epoch: 08 | Epoch Time: 0m 1s
	Train Loss: 0.003 | Train Acc: 100.00%
	 Val. Loss: 6.388 |  Val. Acc: 22.22%
Epoch: 09 | Epoch Time: 0m 1s
	Train Loss: 0.003 | Train Acc: 100.00%
	 Val. Loss: 6.412 |  Val. Acc: 22.22%
Epoch: 10 | Epoch Time: 0m 1s
	Train Loss: 0.003 | Train Acc: 100.00%
	 Val. Loss: 6.434 |  Val. Acc: 22.22%
Epoch: 01 | Epoch Time: 0m 1s
	Train Loss: 0.003 | Train Acc: 100.00%
	 Val. Loss: 6.456 |  Val. Acc: 22.22%
Epoch: 02 | Epoch Time: 0m 1s
	Train Loss: 0.003 | Train Acc: 100.00%
	 Val. Loss: 6.478 |  Val. Acc: 22.22%
Epoch: 03 | Epoch Time: 0m 1s
	Train Loss: 0.003 | Train Acc: 100.00%
	 Val. Loss: 6.499 |  Val. Acc: 22.22%
Epoch: 04 | Epoch Time: 0m 1s
	Train Loss: 0.003 | Train Acc: 100.00%
	 Val. Loss: 6.520 |  Val. Acc: 22.22%
Epoch: 05 | Epoch Time: 0m 1s
	Train Loss: 0.002 | Train Acc: 100.00%
	 Val. Loss: 6.543 |  Val. Acc: 22.22%
Epoch: 06 | Epoch Time: 0m 1s
	Train Loss: 0.002 | Train Acc: 100.00%
	 Val. Loss: 6.564 |  Val. Acc: 22.22%
Epoch: 07 | Epoch Time: 0m 1s
	Train Loss: 0.002 | Train Acc: 100.00%
	 Val. Loss: 6.583 |  Val. Acc: 22.22%
Epoch: 08 | Epoch Time: 0m 1s
	Train Loss: 0.002 | Train Acc: 100.00%
	 Val. Loss: 6.601 |  Val. Acc: 22.22%
Epoch: 09 | Epoch Time: 0m 1s
	Train Loss: 0.002 | Train Acc: 100.00%
	 Val. Loss: 6.619 |  Val. Acc: 22.22%
Epoch: 10 | Epoch Time: 0m 1s
	Train Loss: 0.002 | Train Acc: 100.00%
	 Val. Loss: 6.636 |  Val. Acc: 22.22%
Epoch: 01 | Epoch Time: 0m 1s
	Train Loss: 0.002 | Train Acc: 100.00%
	 Val. Loss: 6.654 |  Val. Acc: 22.22%
Epoch: 02 | Epoch Time: 0m 1s
	Train Loss: 0.002 | Train Acc: 100.00%
	 Val. Loss: 6.672 |  Val. Acc: 22.22%
Epoch: 03 | Epoch Time: 0m 1s
	Train Loss: 0.002 | Train Acc: 100.00%
	 Val. Loss: 6.689 |  Val. Acc: 22.22%
Epoch: 04 | Epoch Time: 0m 1s
	Train Loss: 0.002 | Train Acc: 100.00%
	 Val. Loss: 6.705 |  Val. Acc: 22.22%
Epoch: 05 | Epoch Time: 0m 1s
	Train Loss: 0.002 | Train Acc: 100.00%
	 Val. Loss: 6.720 |  Val. Acc: 22.22%
Epoch: 06 | Epoch Time: 0m 1s
	Train Loss: 0.002 | Train Acc: 100.00%
	 Val. Loss: 6.734 |  Val. Acc: 22.22%
Epoch: 07 | Epoch Time: 0m 1s
	Train Loss: 0.002 | Train Acc: 100.00%
	 Val. Loss: 6.749 |  Val. Acc: 22.22%
Epoch: 08 | Epoch Time: 0m 1s
	Train Loss: 0.002 | Train Acc: 100.00%
	 Val. Loss: 6.765 |  Val. Acc: 22.22%
Epoch: 09 | Epoch Time: 0m 1s
	Train Loss: 0.002 | Train Acc: 100.00%
	 Val. Loss: 6.781 |  Val. Acc: 22.22%
Epoch: 10 | Epoch Time: 0m 1s
	Train Loss: 0.002 | Train Acc: 100.00%
	 Val. Loss: 6.796 |  Val. Acc: 22.22%
Epoch: 01 | Epoch Time: 0m 1s
	Train Loss: 0.002 | Train Acc: 100.00%
	 Val. Loss: 6.810 |  Val. Acc: 22.22%
Epoch: 02 | Epoch Time: 0m 1s
	Train Loss: 0.002 | Train Acc: 100.00%
	 Val. Loss: 6.823 |  Val. Acc: 22.22%
Epoch: 03 | Epoch Time: 0m 1s
	Train Loss: 0.002 | Train Acc: 100.00%
	 Val. Loss: 6.835 |  Val. Acc: 22.22%
Epoch: 04 | Epoch Time: 0m 1s
	Train Loss: 0.002 | Train Acc: 100.00%
	 Val. Loss: 6.848 |  Val. Acc: 22.22%
Epoch: 05 | Epoch Time: 0m 1s
	Train Loss: 0.002 | Train Acc: 100.00%
	 Val. Loss: 6.861 |  Val. Acc: 22.22%
Epoch: 06 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 6.875 |  Val. Acc: 22.22%
Epoch: 07 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 6.890 |  Val. Acc: 22.22%
Epoch: 08 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 6.904 |  Val. Acc: 22.22%
Epoch: 09 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 6.917 |  Val. Acc: 22.22%
Epoch: 10 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 6.929 |  Val. Acc: 22.22%
Epoch: 01 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 6.941 |  Val. Acc: 22.22%
Epoch: 02 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 6.953 |  Val. Acc: 22.22%
Epoch: 03 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 6.963 |  Val. Acc: 22.22%
Epoch: 04 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 6.973 |  Val. Acc: 22.22%
Epoch: 05 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 6.982 |  Val. Acc: 22.22%
Epoch: 06 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 6.993 |  Val. Acc: 22.22%
Epoch: 07 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.006 |  Val. Acc: 22.22%
Epoch: 08 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.019 |  Val. Acc: 22.22%
Epoch: 09 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.031 |  Val. Acc: 22.22%
Epoch: 10 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.042 |  Val. Acc: 22.22%
Epoch: 01 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.052 |  Val. Acc: 22.22%
Epoch: 02 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.064 |  Val. Acc: 22.22%
Epoch: 03 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.075 |  Val. Acc: 22.22%
Epoch: 04 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.086 |  Val. Acc: 22.22%
Epoch: 05 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.095 |  Val. Acc: 22.22%
Epoch: 06 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.104 |  Val. Acc: 22.22%
Epoch: 07 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.113 |  Val. Acc: 22.22%
Epoch: 08 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.124 |  Val. Acc: 22.22%
Epoch: 09 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.135 |  Val. Acc: 22.22%
Epoch: 10 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.146 |  Val. Acc: 22.22%
Epoch: 01 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.154 |  Val. Acc: 22.22%
Epoch: 02 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.163 |  Val. Acc: 22.22%
Epoch: 03 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.172 |  Val. Acc: 22.22%
Epoch: 04 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.182 |  Val. Acc: 22.22%
Epoch: 05 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.192 |  Val. Acc: 22.22%
Epoch: 06 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.202 |  Val. Acc: 22.22%
Epoch: 07 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.211 |  Val. Acc: 22.22%
Epoch: 08 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.219 |  Val. Acc: 22.22%
Epoch: 09 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.227 |  Val. Acc: 22.22%
Epoch: 10 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.236 |  Val. Acc: 22.22%
Epoch: 01 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.245 |  Val. Acc: 22.22%
Epoch: 02 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.256 |  Val. Acc: 22.22%
Epoch: 03 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.267 |  Val. Acc: 22.22%
Epoch: 04 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.276 |  Val. Acc: 22.22%
Epoch: 05 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.282 |  Val. Acc: 22.22%
Epoch: 06 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.290 |  Val. Acc: 22.22%
Epoch: 07 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.298 |  Val. Acc: 22.22%
Epoch: 08 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.306 |  Val. Acc: 22.22%
Epoch: 09 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.315 |  Val. Acc: 22.22%
Epoch: 10 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.324 |  Val. Acc: 22.22%
Epoch: 01 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.336 |  Val. Acc: 22.22%
Epoch: 02 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.346 |  Val. Acc: 22.22%
Epoch: 03 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.353 |  Val. Acc: 22.22%
Epoch: 04 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.358 |  Val. Acc: 22.22%
Epoch: 05 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.364 |  Val. Acc: 22.22%
Epoch: 06 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.372 |  Val. Acc: 22.22%
Epoch: 07 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.381 |  Val. Acc: 22.22%
Epoch: 08 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.389 |  Val. Acc: 22.22%
Epoch: 09 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.395 |  Val. Acc: 22.22%
Epoch: 10 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.403 |  Val. Acc: 22.22%
Epoch: 01 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.412 |  Val. Acc: 22.22%
Epoch: 02 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.421 |  Val. Acc: 22.22%
Epoch: 03 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.429 |  Val. Acc: 22.22%
Epoch: 04 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.436 |  Val. Acc: 22.22%
Epoch: 05 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.441 |  Val. Acc: 22.22%
Epoch: 06 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.450 |  Val. Acc: 22.22%
Epoch: 07 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.458 |  Val. Acc: 22.22%
Epoch: 08 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.467 |  Val. Acc: 22.22%
Epoch: 09 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.474 |  Val. Acc: 22.22%
Epoch: 10 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.480 |  Val. Acc: 22.22%
Epoch: 01 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
	 Val. Loss: 7.487 |  Val. Acc: 22.22%
Epoch: 02 | Epoch Time: 0m 1s
	Train Loss: 0.001 | Train Acc: 100.00%
